"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",clojurescript-1.9.293.jar,/home/runner/.m2/repository/org/clojure/clojurescript/1.9.293/clojurescript-1.9.293.jar,ClojureScript compiler and core runtime library.,Eclipse Public License 1.0: http://opensource.org/licenses/eclipse-1.0.php,814254caf0b2a51b3a59fa548b11f074,9916db845e309c7a62caeaa2f71bce4ae878459b,pkg:maven/org.clojure/clojurescript@1.9.293,"cpe:2.3:a:alex_project:alex:1.9.293:*:*:*:*:*:*:*, cpe:2.3:a:bloom_project:bloom:1.9.293:*:*:*:*:*:*:*",CVE-2023-0247,CWE-427 Uncontrolled Search Path Element,Uncontrolled Search Path Element in GitHub repository bits-and-blooms/bloom prior to 3.3.1.,NVD,"","","",HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H/E:1.8/RC:R/MAV:A,"","","",HIGH,266,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",google-closure-library-0.0-20160609-f42b4a24.jar,/home/runner/.m2/repository/org/clojure/google-closure-library/0.0-20160609-f42b4a24/google-closure-library-0.0-20160609-f42b4a24.jar,The Google Closure Library is a collection of JavaScript code         designed for use with the Google Closure JavaScript Compiler.          This non-official distribution was prepared by the ClojureScript         team at http://clojure.org/,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.html",f68473159ff1a17e4636e908762d5500,f5585ba44bdd8981eeaf24dfd7a16921f9278b8d,pkg:maven/org.clojure/google-closure-library@0.0-20160609-f42b4a24,cpe:2.3:a:google:closure_library:0.0.20160609.f42.b4:a24:*:*:*:*:*:*,CVE-2020-8910,"CWE-625 Permissive Regular Expression, NVD-CWE-noinfo",A URL parsing issue in goog.uri of the Google Closure Library versions up to and including v20200224 allows an attacker to send malicious URLs to be parsed by the library and return the wrong authority. Mitigation: update your library to version v20200315.,NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:P/I:N/A:N,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N/E:2.8/RC:R/MAV:A,"","","",HIGH,49,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",gson-2.2.4.jar,/home/runner/.m2/repository/com/google/code/gson/gson/2.2.4/gson-2.2.4.jar,Google Gson library,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2f54fc24807a4cad7297012dd8cebf3d,a60a5e993c98c864010053cb901b7eab25306568,pkg:maven/com.google.code.gson/gson@2.2.4,cpe:2.3:a:google:gson:2.2.4:*:*:*:*:*:*:*,CVE-2022-25647,CWE-502 Deserialization of Untrusted Data,"The package com.google.code.gson:gson before 2.8.9 are vulnerable to Deserialization of Untrusted Data via the writeReplace() method in internal classes, which may lead to DoS attacks.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,40,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",guava-19.0.jar,/home/runner/.m2/repository/com/google/guava/guava/19.0/guava-19.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,43bfc49bdc7324f6daaa60c1ee9f3972,6ce200f6b23222af3d8abb6b6459e6c44f4bb0e9,pkg:maven/com.google.guava/guava@19.0,cpe:2.3:a:google:guava:19.0:*:*:*:*:*:*:*,CVE-2023-2976,CWE-552 Files or Directories Accessible to External Parties,"Use of Java's default temporary directory for file creation in `FileBackedOutputStream` in Google Guava versions 1.0 to 31.1 on Unix systems and Android Ice Cream Sandwich allows other users and apps on the machine with access to the default Java temporary directory to be able to access the files created by the class.  Even though the security vulnerability is fixed in version 32.0.0, we recommend using version 32.0.1 as version 32.0.0 breaks some functionality under Windows.",NVD,"","","",HIGH,7.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N/E:1.8/RC:R/MAV:A,"","","",HIGH,19,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",guava-19.0.jar,/home/runner/.m2/repository/com/google/guava/guava/19.0/guava-19.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,43bfc49bdc7324f6daaa60c1ee9f3972,6ce200f6b23222af3d8abb6b6459e6c44f4bb0e9,pkg:maven/com.google.guava/guava@19.0,cpe:2.3:a:google:guava:19.0:*:*:*:*:*:*:*,CVE-2018-10237,CWE-770 Allocation of Resources Without Limits or Throttling,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H/E:2.2/RC:R/MAV:A,"","","",HIGH,19,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",guava-19.0.jar,/home/runner/.m2/repository/com/google/guava/guava/19.0/guava-19.0.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has only one code dependency - javax.annotation,     per the JSR-305 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,43bfc49bdc7324f6daaa60c1ee9f3972,6ce200f6b23222af3d8abb6b6459e6c44f4bb0e9,pkg:maven/com.google.guava/guava@19.0,cpe:2.3:a:google:guava:19.0:*:*:*:*:*:*:*,CVE-2020-8908,"CWE-378 Creation of Temporary File With Insecure Permissions, CWE-732 Incorrect Permission Assignment for Critical Resource","A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N/E:1.8/RC:R/MAV:A,"","","",HIGH,19,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",protobuf-java-2.5.0.jar,/home/runner/.m2/repository/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar,Protocol Buffers are a way of encoding structured data in an efficient yet     extensible format.,New BSD license: http://www.opensource.org/licenses/bsd-license.php,a44473b98947e2a54c54e0db1387d137,a10732c76bfacdbd633a7eb0f7968b1059a65dfa,pkg:maven/com.google.protobuf/protobuf-java@2.5.0,"cpe:2.3:a:google:protobuf-java:2.5.0:*:*:*:*:*:*:*, cpe:2.3:a:protobuf:protobuf:2.5.0:*:*:*:*:*:*:*",CVE-2024-7254,CWE-20 Improper Input Validation,"Any project that parses untrusted Protocol Buffers data containing an arbitrary number of nested groups / series of SGROUP tags can corrupted by exceeding the stack limit i.e. StackOverflow. Parsing nested groups as unknown fields with DiscardUnknownFieldsParser or Java Protobuf Lite parser, or against Protobuf map fields, creates unbounded recursions that can be abused by an attacker.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-7254 for details",OSSINDEX,HIGH,8.699999809265137,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"","","","","","",HIGH,27,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",protobuf-java-2.5.0.jar,/home/runner/.m2/repository/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar,Protocol Buffers are a way of encoding structured data in an efficient yet     extensible format.,New BSD license: http://www.opensource.org/licenses/bsd-license.php,a44473b98947e2a54c54e0db1387d137,a10732c76bfacdbd633a7eb0f7968b1059a65dfa,pkg:maven/com.google.protobuf/protobuf-java@2.5.0,"cpe:2.3:a:google:protobuf-java:2.5.0:*:*:*:*:*:*:*, cpe:2.3:a:protobuf:protobuf:2.5.0:*:*:*:*:*:*:*",CVE-2022-3171,"CWE-20 Improper Input Validation, NVD-CWE-noinfo","A parsing issue with binary data in protobuf-java core and lite versions prior to 3.21.7, 3.20.3, 3.19.6 and 3.16.3 can lead to a denial of service attack. Inputs containing multiple instances of non-repeated embedded messages with repeated or unknown fields causes objects to be converted back-n-forth between mutable and immutable forms, resulting in potentially long garbage collection pauses. We recommend updating to the versions mentioned above.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,27,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",protobuf-java-2.5.0.jar,/home/runner/.m2/repository/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar,Protocol Buffers are a way of encoding structured data in an efficient yet     extensible format.,New BSD license: http://www.opensource.org/licenses/bsd-license.php,a44473b98947e2a54c54e0db1387d137,a10732c76bfacdbd633a7eb0f7968b1059a65dfa,pkg:maven/com.google.protobuf/protobuf-java@2.5.0,"cpe:2.3:a:google:protobuf-java:2.5.0:*:*:*:*:*:*:*, cpe:2.3:a:protobuf:protobuf:2.5.0:*:*:*:*:*:*:*",CVE-2022-3509,CWE-400 Uncontrolled Resource Consumption,"A parsing issue similar to CVE-2022-3171, but with textformat in protobuf-java core and lite versions prior to 3.21.7, 3.20.3, 3.19.6 and 3.16.3 can lead to a denial of service attack. Inputs containing multiple instances of non-repeated embedded messages with repeated or unknown fields causes objects to be converted back-n-forth between mutable and immutable forms, resulting in potentially long garbage collection pauses. We recommend updating to the versions mentioned above.",OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"","","",HIGH,27,"","","","","","","",""
com.github.pmonks/unfurl 1.0.225-SNAPSHOT,"Tue, 1 Jul 2025 03:45:41 GMT",protobuf-java-2.5.0.jar,/home/runner/.m2/repository/com/google/protobuf/protobuf-java/2.5.0/protobuf-java-2.5.0.jar,Protocol Buffers are a way of encoding structured data in an efficient yet     extensible format.,New BSD license: http://www.opensource.org/licenses/bsd-license.php,a44473b98947e2a54c54e0db1387d137,a10732c76bfacdbd633a7eb0f7968b1059a65dfa,pkg:maven/com.google.protobuf/protobuf-java@2.5.0,"cpe:2.3:a:google:protobuf-java:2.5.0:*:*:*:*:*:*:*, cpe:2.3:a:protobuf:protobuf:2.5.0:*:*:*:*:*:*:*",CVE-2021-22569,"NVD-CWE-noinfo, CWE-696 Incorrect Behavior Order","An issue in protobuf-java allowed the interleaving of com.google.protobuf.UnknownFieldSet fields in such a way that would be processed out of order. A small malicious payload can occupy the parser for several minutes by creating large numbers of short-lived objects that cause frequent, repeated pauses. We recommend upgrading libraries beyond the vulnerable versions.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H/E:1.8/RC:R/MAV:A,"","","",HIGH,27,"","","","","","","",""
